	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-330-5p	15	8	14	17	13	9	7	17	25	25
mmu-miR-495-3p	15	4	13	6	3	6	14	7	13	13
mmu-miR-351-5p	15	17	7	7	13	10	7	21	29	37
mmu-miR-331-3p	15	15	13	14	10	11	15	18	16	23
mmu-miR-30b-3p	14	4	9	14	3	8	13	13	9	4
mmu-miR-125b-1-3p	14	4	8	4	7	5	8	14	11	20
mmu-miR-369-3p	13	13	5	11	14	13	13	9	19	23
mmu-miR-326-3p	13	14	22	14	11	10	17	26	24	21
mmu-miR-598-3p	13	14	9	17	6	12	13	7	20	23
mmu-miR-743a-5p	13	30	27	29	24	19	21	30	43	44
mmu-miR-190b-5p	13	16	10	13	6	11	6	11	23	13
mmu-miR-676-5p	13	8	6	5	5	8	2	6	17	21
mmu-miR-15a-5p	13	12	8	6	20	8	16	12	39	19
mmu-miR-181c-3p	13	9	3	10	7	6	4	5	15.5	8
mmu-miR-141-5p	13	4	3	17	12	10	3	7	13	8
mmu-miR-222-3p	13	11	8	10	11	6	13	19	31	30
mmu-miR-669a-5p|mmu-miR-669p-5p	12.5	7	18	17	10	5	11	32	39.5	33
mmu-miR-30d-3p	12	11	12	11	10	9	15	6	19	13
mmu-miR-615-3p	12	13	10	15	16	13	13	36	41	31
mmu-miR-24-3p	12	6	11	9	5	6	6	17	16	18
mmu-miR-195a-3p	12	4	5	6	1	2	1	4	7	10
mmu-miR-466a-3p|mmu-miR-466b-3p|mmu-miR-466c-3p|mmu-miR-466e-3p|mmu-miR-466p-3p	11.8333333333333	11.5	10.6666666666667	6	7.16666666666667	7.5	12.1666666666667	11.5	18.3333333333333	19.1666666666667
mmu-miR-324-5p	11	8	7	4	7	6	6	7	16	12
mmu-miR-362-5p	11	15	9	4	9	11	8	16	23	17
mmu-miR-3068-5p	11	19	4	11	13	13	8	15	27	27
mmu-miR-214-3p	11	11	8	9	7	4	9	16	24	14
mmu-miR-29c-5p	10	16	14	6	17	17	14	6	6	6
mmu-miR-296-5p	10	15	5	8	12	3	7	15	43	32
mmu-miR-335-5p	10	12	9	9	11	8	15	13	40	17
mmu-let-7b-3p	10	7	10	17	0	7	9	10	22	22
mmu-miR-337-5p	10	10	9	13	10	14	9	23	16	20
mmu-miR-674-5p	10	10	7	8	7	4	3	12	11	14
mmu-miR-574-5p	10	2	6	2	3	4	4	12	10	10
