	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-26b-3p	2	2	2	2	0	1	2	4	8	4
mmu-miR-187-5p	2	4	2	0	3	0	3	6	5	6
mmu-miR-1947-5p	2	2	1	0	0	0	1	0	3	3
mmu-miR-671-5p	2	5	1	4	3	1	0	14	12	12
mmu-miR-298-5p	2	4	5	3	4	0	5	2	4	2
mmu-miR-677-5p	2	2	2	6	3	3	0	2	4	1
mmu-miR-17-3p	2	2	1	6	2	1	2	6	9	7
mmu-miR-3068-5p	2	17	10	3	11	4	8	25	8	20
mmu-miR-98-3p	2	2	5	3	2	0	0	1	6	6
mmu-miR-195a-3p	2	4	3	2	3	1	2	4	6	9
mmu-miR-379-3p	2	5	5	10	8	2	4	5	21	26
mmu-miR-129-5p	2	4	1	6	3	0	3	6	7	13
mmu-miR-25-5p	2	1	0	1	0	2	0	5	3	3
mmu-miR-376b-5p	2	1	5	7	9	1	1	4	4	7
mmu-miR-410-3p	2	3	7	5	7	3	1	5	6	10
mmu-miR-201-5p	2	0	1	1	0	0	0	1	3	1
mmu-miR-485-3p	2	4	1	5	5	2	2	9	4	10
mmu-miR-671-3p	2	1	4	4	4	2	0	4	10	5
mmu-miR-34a-3p	2	1	1	0	0	0	0	0	0	1
mmu-miR-152-5p	2	9	6	4	6	2	4	4	7	5
mmu-miR-449b	2	0	1	0	3	0	1	0	1	0
mmu-miR-485-5p	2	3	6	4	4	0	2	5	14	17
mmu-miR-378b	1.58333333333333	2	3.25	1.66666666666667	5	2.91666666666667	1.66666666666667	6.83333333333333	9.25	11.1666666666667
mmu-miR-1843a-5p	1.5	1	2	2	1	1	0.5	4	1	2
mmu-miR-21b	1.5	0	0	1	0.5	0	2	3.5	0	4
mmu-let-7a-1	1.16666666666667	1.5	1.66666666666667	1.16666666666667	1.33333333333333	0	0	2	7.58333333333333	4.16666666666667
